"lat","long","Sample_depth_min_cm","Sample_depth_max_cm","sample_type","Sea_Depth_meters_NOAA","Ocean","OBD_IRN","adamsi","bulloides","calida","conglobatus","conglomerata","crassaformis","dehiscens","digitata","dutertrei","falconensis","hexagona","hirsuta","humilis","inflata","menardii","obliquiloculata","pachyderma","quinqueloba","ruber","rubescens","sacculifera","scitula","siphonifera","tenellus","trilobus","truncatulinoides","tumida","universa","glutinata","iota","nitida","pelagica","uvula","various","ssp_richness","total_idind","total_ind"
-40.45,49.81667,"","","no_info",-3780,"Indian ocean",38482,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,87,87
-39.76667,167.75,"","","no_info",-1137,"Pacific ocean, Tasman sea",17031,0,9,0,0,0,3,0,2,0,17,0,49,0,42,0,0,26,7,9,0,0,2,0,0,0,24,0,10,16,0,0,0,0,58,13,216,274
-39.70833,-6.05,"","","no_info",-801,"Atlantic ocean",15795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,157
-37.86667,-17.6,"","","no_info",-2392,"Atlantic ocean",15674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32
-37.15,45.53333,"top","","no_info",-3663,"Indian ocean",16146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,10
-33.88333,173.83333,"","","no_info",-2464,"Pacific ocean, Tasman sea",17229,0,38,0,4,0,37,0,2,0,2,0,10,0,32,0,11,15,0,15,2,15,0,0,7,0,16,0,6,18,0,0,0,0,35,16,230,265
-33.7,-78.3,"","","no_info",-3798,"Pacific ocean",34607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11
-29.93333,54.1,"","","no_info",-4211,"Indian ocean",34678,0,5,0,9,0,0,9,6,0,0,0,20,0,21,5,0,11,0,11,0,9,6,0,0,0,15,0,0,0,0,0,0,0,10,12,127,137
-28.88333,170,"","","no_info",-3021,"Pacific ocean, Tasman sea",17240,0,35,0,13,0,22,2,7,0,30,0,0,0,71,0,12,20,0,16,2,20,8,0,12,0,20,0,10,21,0,1,1,0,284,19,323,607
-28.00833,112.45833,"","","no_info",-1206,"Indian ocean near coast",36043,0,0,11,8,7,7,6,0,0,0,0,12,0,28,86,3,0,0,24,0,19,0,0,0,0,23,0,0,0,0,0,0,0,63,12,234,297
