IRN,BM no.: (Registration)/BM Number: (BM Number),Quantity: (Sample Information),Object
11881,"BM.1980,O92",,"BM.1980,O92, 44, HMS Hydra, 04/06/1980, 55 23  N; 8 16 22 W; Northeast Atlantic Ocean, underway sampler"
12030,"BM.1938,1290(11)",,"BM.1938,1290(11), 17, HMS Challenger, 08/04/1938, 14 1 5 N; 61 20 7 W; Western Central Atlantic Ocean"
12031,"BM.1938,1290(12)",,"BM.1938,1290(12), 24, HMS Challenger, 09/04/1938, 15   N; 63 35  W; Western Central Atlantic Ocean"
12032,"BM.1938,1290(13)",,"BM.1938,1290(13), 27, HMS Challenger, 09/04/1938, 14 56 5 N; 62 5 6 W; Western Central Atlantic Ocean"
12033,"BM.1938,1290(14)",,"BM.1938,1290(14), 25, HMS Challenger, 10/04/1938, 15 33  N; 64 11  W; Western Central Atlantic Ocean"
12034,"BM.1938,1290(16)",,"BM.1938,1290(16), 27, HMS Challenger, 11/04/1938, 15 37  N; 61 48  W; Western Central Atlantic Ocean"
12035,"BM.1938,1290(17)",,"BM.1938,1290(17), 34, HMS Challenger, 11/04/1938, 16 43  N; 62 49  W; Western Central Atlantic Ocean"
12036,"BM.1938,1290(18)",,"BM.1938,1290(18), 35, HMS Challenger, 12/04/1938, 16 17  N; 63 55 8 W; Western Central Atlantic Ocean"
12037,"BM.1938,1290(19)",,"BM.1938,1290(19), 36, HMS Challenger, 12/04/1938, 17 30 8 N; 64 21 1 W; Western Central Atlantic Ocean"
12038,"BM.1938,1290(2)",,"BM.1938,1290(2), 10, HMS Challenger, 05/03/1938, 11 44 6 N; 58 35  W; Western Central Atlantic Ocean"
12039,"BM.1938,1290(20)",,"BM.1938,1290(20), 38, HMS Challenger, 13/04/1938, 17 13 8 N; 65 12 8 W; Western Central Atlantic Ocean"
12040,"BM.1938,1290(3)",,"BM.1938,1290(3), 9, HMS Challenger, 06/03/1938, 12 9 2 N; 60 21  W; Western Central Atlantic Ocean"
12041,"BM.1938,1290(5)",,"BM.1938,1290(5), 15, HMS Challenger, 08/03/1938, 14 1  N; 64 31 2 W; Western Central Atlantic Ocean"
12042,"BM.1938,1290(6)",,"BM.1938,1290(6), 13, HMS Challenger, 09/03/1938, 13 25  N; 62 37  W; Western Central Atlantic Ocean"
12043,"BM.1938,1290(7)",,"BM.1938,1290(7), HMS Challenger, 12/03/1938, 15 18  N; 63 22  W; Western Central Atlantic Ocean"
12044,"BM.1938,1290(8)",,"BM.1938,1290(8), 5, HMS Challenger, 14/03/1938, 11 40  N; 64 13  W; Western Central Atlantic Ocean"
12045,"BM.1938,1290(9)",,"BM.1938,1290(9), 3, HMS Challenger, 21/03/1938, 11 34 3 N; 61 8 1 W; Western Central Atlantic Ocean"
12046,"BM.1938,1316",2 boxes (and 1 t (?),"BM.1938,1316, 86, Timor Expedition, 1916, 8 0  S; 125 0  E; Eastern Indian Ocean"
12047,"BM.1938,1317",1 box,"BM.1938,1317, 86, Timor Expedition, 1916, 8 0  S; 125 0  E; Eastern Indian Ocean"
12048,"BM.1938,1318",1 spec,"BM.1938,1318, 86, Timor Expedition, 1916, 10 40  S; 123 25  E; Eastern Indian Ocean"
12049,"BM.1938,1319",1 box,"BM.1938,1319, 86, Timor Expedition, 1916, 10 40  S; 123 25  E; Eastern Indian Ocean"
